1:1	사무엘상 27:5-6
15:24	사무엘하 8:17, 사무엘하 20:25, 열왕기상 1:8, 열왕기상 2:35, 역대기상 6:8, 출애굽기 37:1, 레위기 16:2, 민수기 8:19, 민수기 4:15, 민수기 7:9, 역대기상 15:2, 사무엘상 22:20, 사무엘상 30:7
15:25	사무엘하 6:17, 사무엘하 7:2, 시편 26:8, 시편 27:4
15:27	사무엘상 9:9, 사무엘하 17:17
15:28	사무엘하 15:36, 사무엘하 17:16, 사무엘하 17:21
15:30	마태복음 21:1, 마태복음 24:3, 사도행전 1:12
15:31	시편 3:0, 시편 41:9, 시편 55:12-13, 요한복음 13:18, 사무엘하 16:23, 사무엘하 17:14, 시편 3:7
15:32	여호수아 16:1-2, 사무엘하 16:16
15:34	사무엘하 16:18-19, 사무엘하 17:7, 사무엘하 17:14
15:35	사무엘하 17:15-16
15:36	사무엘하 18:19, 사무엘하 17:17, 열왕기상 1:42
15:37	사무엘하 16:16, 역대기상 27:33
16:1	사무엘하 15:30, 사무엘하 9:6, 사무엘하 9:2, 사무엘하 9:9, 사무엘상 25:18
16:2	사무엘하 17:27-29
16:3	사무엘하 9:3, 사무엘하 19:25-27
16:4	사무엘하 9:9-10, 잠언 26:22
16:5	사무엘하 19:16, 열왕기상 2:8, 열왕기상 2:44, 출애굽기 22:28, 전도서 10:20
16:8	사무엘상 24:6-7, 사무엘상 26:9, 사무엘상 26:11, 시편 3:1-2, 시편 7:1, 시편 71:10-11
16:9	역대기상 2:15-16, 사무엘상 24:14, 출애굽기 22:28, 사무엘상 26:8
16:10	사무엘하 19:22, 열왕기상 2:5, 시편 37:8, 베드로 전서 2:23, 사무엘하 12:10
16:11	사무엘하 12:11, 사무엘하 15:14, 사무엘하 17:12, 사무엘하 19:16
16:12	창세기 29:32, 출애굽기 3:7, 시편 25:18, 시편 109:28
16:13	사무엘하 16:5
16:15	사무엘하 15:12, 사무엘하 15:31
16:16	여호수아 16:1-2, 사무엘하 15:32, 사무엘하 15:37, 역대기상 27:33, 열왕기상 1:25
16:19	사무엘하 15:34
16:20	시편 37:12
16:21	사무엘하 15:16, 레위기 18:8, 레위기 20:11, 열왕기상 2:22
16:22	사무엘하 11:2, 사무엘하 12:11-12, 신명기 22:30, 사무엘하 20:3
16:23	사무엘하 15:12, 사무엘하 17:14, 사무엘하 17:23
17:2	사무엘하 16:14, 시편 37:12, 시편 41:9, 시편 55:12-13
17:5	사무엘하 15:32, 사무엘하 16:16
17:7	사무엘하 15:34
17:8	사무엘상 16:18, 사무엘하 15:18, 사무엘하 23:8, 사무엘하 23:18, 역대기상 11:26, 잠언 17:12, 사무엘상 17:50, 사무엘상 18:7, 사무엘상 19:8, 사무엘하 10:18
17:9	사무엘상 22:1, 사무엘상 23:19
17:10	창세기 49:9, 사무엘하 1:23, 이사야 31:4, 사무엘상 18:5
17:11	사사기 20:1, 열왕기상 4:20
17:14	잠언 21:1, 사무엘하 15:31, 사무엘하 15:34, 사무엘하 16:23, 잠언 19:21, 잠언 21:30, 신명기 2:30, 역대기하 25:20
17:15	사무엘하 8:17, 사무엘하 15:35
17:16	시편 35:24-25
17:17	열왕기상 1:42, 사무엘하 15:27, 사무엘하 15:36, 사무엘하 18:19, 여호수아 15:7, 여호수아 15:12, 여호수아 18:16, 여호수아 18:20, 열왕기상 1:9
17:18	사무엘하 16:5, 사무엘하 19:16
17:20	출애굽기 1:19, 여호수아 2:3-5, 사무엘상 19:12, 사무엘상 19:14, 사무엘상 21:2
17:21	사무엘하 17:1-2
17:23	여호수아 15:20, 여호수아 15:51, 사무엘하 15:12, 열왕기하 20:1, 사무엘상 31:4, 열왕기상 16:18, 시편 5:10, 시편 55:23, 마태복음 27:3, 마태복음 27:5, 사도행전 1:18
17:24	창세기 32:1-2, 여호수아 13:24, 여호수아 13:26
17:25	사무엘하 8:16, 사무엘하 19:13, 사무엘하 20:4, 사무엘하 20:10, 역대기상 2:16-17
17:26	민수기 32:1, 신명기 3:15
17:27	신명기 3:11, 여호수아 13:24-25, 사무엘하 12:26, 사무엘하 12:29, 사무엘하 9:3-5, 사무엘하 19:31-32, 열왕기상 2:7
17:29	사무엘상 25:18, 사무엘하 16:2, 잠언 11:25
18:1	잠언 20:18
18:2	사무엘하 8:16, 사무엘하 10:7, 역대기상 2:15-16, 사무엘하 23:18-19, 사무엘하 15:19, 사무엘하 15:21
18:3	사무엘하 21:17, 사무엘하 17:1-3, 예레미야 애가 4:20
18:5	사무엘하 18:12
18:6	사무엘하 17:26
18:7	사무엘하 16:15, 시편 3:7, 잠언 24:21-22
18:10	사무엘하 8:16, 사무엘하 18:2
18:12	사무엘하 18:5
18:15	사무엘하 12:10, 잠언 2:22, 잠언 20:20, 잠언 30:17
18:17	여호수아 7:24, 여호수아 7:26, 여호수아 8:29, 여호수아 10:23, 여호수아 10:27
18:18	사무엘하 14:27, 창세기 14:17
18:19	사무엘하 15:35-36, 사무엘하 17:17, 시편 9:4
18:20	사무엘하 18:5
18:21	창세기 10:6
18:24	사무엘하 18:4, 열왕기하 9:17
18:27	사무엘하 18:19
18:28	사무엘하 22:47, 시편 144:1
18:29	사무엘하 18:22
18:31	사무엘하 18:21, 사무엘하 22:49, 시편 55:18, 시편 94:1, 시편 124:2-3
18:32	시편 27:2
18:33	사무엘하 12:10, 사무엘하 17:14, 사무엘하 19:1, 잠언 19:13
19:1	사무엘하 18:5, 사무엘하 18:14
19:3	사무엘하 17:24
19:4	사무엘하 18:33
19:5	사무엘하 3:2-5, 사무엘하 5:14-16, 사무엘하 13:1, 사무엘하 5:13, 사무엘하 15:16
19:8	사무엘하 18:17
19:9	사무엘상 17:50, 사무엘상 18:7, 사무엘상 19:5, 사무엘하 5:25, 사무엘하 8:5, 사무엘하 15:14
19:10	사무엘하 15:10, 사무엘하 15:12, 사무엘하 18:14
19:11	사무엘하 8:17, 사무엘하 15:25, 열왕기상 1:8, 사무엘상 22:20, 사무엘상 30:7, 사무엘하 15:24, 역대기상 15:11-12, 사무엘하 2:4
19:13	사무엘하 17:25, 역대기상 2:16-17, 사무엘하 8:16, 사무엘하 18:5, 사무엘하 18:14
19:15	여호수아 5:9, 사무엘상 11:14
19:16	사무엘하 16:5, 열왕기상 2:8-9
19:17	사무엘하 9:2, 사무엘하 9:10, 사무엘하 16:1
19:19	사무엘하 16:5
19:21	사무엘하 2:18, 사무엘하 23:18, 출애굽기 22:28, 사무엘하 16:7, 열왕기상 21:13
19:22	사무엘하 3:39, 사무엘하 16:10
19:23	열왕기상 2:8-9
19:24	사무엘하 9:3, 사무엘하 9:6, 사무엘하 16:3-4
19:26	사무엘하 9:9, 사무엘하 4:4
19:27	레위기 19:16, 사무엘하 16:3
19:28	사무엘하 9:7-10
19:29	사무엘하 16:4
19:31	사무엘하 17:27-29, 열왕기상 2:7
19:32	잠언 3:27
19:33	잠언 11:25
19:35	시편 90:10, 전도서 2:8
19:37	창세기 50:13, 열왕기상 2:7
19:39	창세기 31:55, 사무엘상 20:41, 사도행전 20:37
19:40	사무엘상 11:14, 사무엘하 2:4
19:41	사사기 8:1, 사사기 12:1, 사무엘하 19:15
19:42	시편 78:68, 시편 78:70
20:1	사무엘하 20:21, 사사기 3:26-27, 사무엘하 15:10, 사무엘하 19:43, 열왕기상 12:16
20:2	잠언 24:21, 사무엘하 19:15, 사무엘하 19:41-42
