27:1	시편 36:9, 시편 43:3, 시편 119:105, 시편 23:4, 로마서 8:31, 히브리서 13:6, 시편 62:6, 이사야 12:2
27:2	시편 22:16
27:3	역대기하 20:15, 역대기하 32:7, 시편 3:6
27:4	시편 23:6, 시편 65:4, 사무엘상 3:3, 역대기상 16:1, 시편 26:8
27:5	시편 32:7, 시편 57:1, 스바냐 2:3, 시편 61:4, 시편 40:2
27:7	시편 130:2, 시편 4:1, 시편 5:2
27:8	시편 63:1, 시편 105:4, 스바냐 2:3
27:9	시편 69:17, 시편 143:7, 시편 46:1
27:10	시편 69:8, 이사야 49:15
27:11	시편 25:4, 시편 86:11, 이사야 30:20, 이사야 54:13
27:12	시편 31:8, 시편 41:2, 시편 41:11, 마태복음 26:59-61
27:13	욥기 33:28-30
27:14	시편 25:3, 시편 62:5, 이사야 40:31
28:1	신명기 32:4, 이사야 26:4, 욥기 33:28
28:2	시편 5:7
28:3	민수기 16:25-26, 시편 26:9, 시편 62:4
28:4	시편 59:12, 예레미야 18:22, 시편 62:12, 데살로니가 후서 1:6
28:5	욥기 34:26-27, 이사야 5:12
28:7	이사야 12:2, 창세기 15:1, 사무엘하 22:3, 시편 3:3, 시편 56:4
28:8	사무엘상 16:13, 사무엘하 22:3, 시편 20:6
28:9	신명기 9:29, 이사야 40:11
29:1	역대기상 16:28-29
29:3	사무엘상 7:10, 시편 18:13, 시편 104:3
29:4	욥기 26:11, 욥기 40:9
29:5	이사야 2:12-13
29:6	신명기 3:8-9
29:7	출애굽기 19:18, 시편 77:18
29:8	이사야 13:13, 히브리서 12:26, 민수기 13:26
29:9	이사야 10:17-18, 에스겔 20:47
29:10	욥기 38:25, 디모데 전서 1:17
29:11	이사야 40:29, 시편 72:7
30:1	시편 25:2, 시편 41:11
30:2	열왕기하 20:5, 시편 6:2, 시편 103:3
30:3	시편 86:13, 시편 16:10, 시편 28:1, 이사야 38:17, 요나 2:6
30:4	시편 32:11, 출애굽기 3:15
30:5	이사야 12:1, 이사야 54:8, 시편 126:5
30:7	사무엘하 5:12, 시편 89:17, 시편 10:1, 시편 143:7
30:8	시편 34:6, 시편 77:1
30:9	시편 28:1, 시편 6:5, 시편 115:17, 전도서 9:10, 시편 88:11, 이사야 38:18
30:10	시편 143:1, 시편 28:7
31:1	시편 18:2, 시편 22:4-5, 로마서 10:11, 시편 143:1
31:2	시편 40:17, 시편 70:1, 시편 71:2, 사무엘하 22:3, 시편 18:2
31:3	사무엘하 22:2, 시편 25:11, 예레미야 14:7, 시편 23:3
31:4	잠언 18:10, 시편 91:3, 마태복음 6:13
31:5	누가복음 23:46, 사도행전 7:59, 신명기 32:4
31:7	시편 9:13
31:9	시편 6:7, 시편 22:14
31:10	잠언 15:13, 시편 71:9, 시편 32:3, 시편 102:3, 시편 102:5
31:11	시편 22:6, 시편 42:10, 시편 102:8, 시편 38:11
31:13	예레미야 20:10, 시편 57:4
31:14	시편 56:4, 시편 43:5
31:15	시편 142:6
31:16	민수기 6:25
31:17	시편 25:2, 이사야 50:7, 느헤미야 6:16, 이사야 41:11, 예레미야 20:11, 사무엘상 2:9
31:18	시편 12:3, 시편 63:11
31:19	시편 73:1, 이사야 63:7, 이사야 64:4, 고린도 전서 2:9, 시편 126:2, 이사야 26:12
31:20	시편 27:5, 시편 32:7, 시편 64:2-3
31:21	사무엘상 23:7, 시편 17:7
31:22	요나 2:4, 역대기하 33:13, 시편 6:9, 잠언 15:29, 히브리서 5:7
31:23	신명기 10:12, 사무엘상 2:9, 시편 145:20, 사무엘하 22:28, 이사야 2:11, 야고보서 4:6
31:24	시편 62:1, 예레미야 애가 3:20-21, 미가 7:7, 이사야 35:4
32:1	이사야 1:18, 사도행전 3:19
32:2	로마서 4:7-8
32:3	잠언 28:13
32:4	시편 38:2
32:5	시편 38:18, 시편 51:4, 요한 1서 1:9, 레위기 5:5, 시편 41:4, 사무엘하 12:13, 시편 86:5, 시편 103:3, 이사야 44:22
32:6	시편 69:13, 이사야 55:6, 시편 65:2-3
32:7	시편 9:9, 출애굽기 15:1, 사무엘하 22:1
32:8	시편 86:11, 잠언 3:6
32:9	잠언 26:3, 예레미야 8:6
32:10	시편 34:8, 잠언 13:21, 잠언 16:20
33:1	빌립보서 4:4
33:3	시편 40:3, 시편 98:1, 시편 149:1, 이사야 42:10, 요한 계시록 5:9
33:4	시편 12:6
33:5	욥기 37:23, 시편 11:7, 시편 45:7, 시편 145:16, 사도행전 14:17
33:6	히브리서 11:3
33:7	창세기 1:9, 욥기 38:8-11, 잠언 8:29, 예레미야 5:22
33:8	요한 계시록 14:7
33:9	시편 148:4-5, 시편 119:90
33:10	이사야 8:10, 이사야 19:3, 시편 21:8, 시편 21:11
33:11	잠언 19:21, 이사야 46:10
33:12	신명기 33:29, 시편 65:4, 시편 135:4, 베드로 전서 2:9
33:13	시편 11:4, 시편 14:2, 잠언 15:3, 히브리서 4:13
33:15	역대기상 28:9, 욥기 34:21, 잠언 24:12
33:16	여호수아 11:6, 역대기하 32:21, 시편 44:4-5
33:17	열왕기하 7:6-7, 시편 20:7, 잠언 21:31, 이사야 31:1
33:18	욥기 36:7, 시편 34:15
33:19	이사야 33:15-16
33:20	신명기 33:29
33:21	시편 28:7, 잠언 18:10
33:22	미가 7:7, 시편 32:10
34:0	사무엘상 21:12-13
34:2	예레미야 9:24, 고린도 전서 1:31
34:3	시편 35:27
34:4	히브리서 5:7, 시편 18:48
34:6	사무엘하 22:1
34:7	열왕기하 6:17, 시편 91:11, 마태복음 18:10, 히브리서 1:7, 히브리서 1:14, 열왕기하 19:35, 다니엘 6:22, 사도행전 5:18-19, 사도행전 12:11
34:8	베드로 전서 2:3
34:9	시편 23:1, 빌립보서 4:19
34:10	시편 23:6, 시편 84:11
34:11	욥기 28:28, 잠언 1:7, 잠언 8:13
34:12	신명기 6:1-2, 신명기 30:19-20, 베드로 전서 3:10-12
34:13	야고보서 1:26, 야고보서 3:8, 잠언 12:19, 잠언 15:4, 베드로 전서 2:1
34:14	시편 37:27, 시편 97:10, 아모스 5:15, 로마서 12:9, 마태복음 5:9, 히브리서 12:14
34:15	욥기 36:7, 시편 33:18, 시편 18:6, 이사야 59:1
34:16	시편 37:10, 잠언 10:7
34:17	시편 145:18-19, 역대기하 32:22, 사도행전 12:11
34:18	시편 147:3, 이사야 61:1, 시편 51:17, 이사야 57:15, 이사야 66:2
34:19	잠언 24:16, 디모데 후서 3:12, 다니엘 6:21-22, 고린도 전서 10:13
34:20	요한복음 19:36
34:22	시편 84:11
35:1	사무엘상 24:15, 시편 3:7
35:2	출애굽기 15:3, 이사야 42:13
35:3	사무엘상 23:26, 이사야 12:2
35:4	예레미야 17:18
35:5	출애굽기 14:19-20, 이사야 37:36
35:8	시편 57:6, 시편 141:10
35:10	시편 18:17, 시편 40:17, 잠언 22:22-23
35:11	시편 27:12, 마태복음 26:59
35:12	사무엘상 19:4-5, 사무엘상 20:33, 예레미야 18:20
35:16	시편 37:12
35:17	하박국 1:13, 시편 142:6, 시편 22:20, 시편 57:4
35:18	시편 22:22
