14:24	신명기 23:17-18, 열왕기상 15:11-12, 열왕기상 22:46, 열왕기하 23:7, 호세아 4:14
14:25	열왕기상 11:40, 역대기하 12:2-4
14:26	열왕기상 7:51, 열왕기상 15:18, 열왕기하 18:14-15, 열왕기하 24:12-13, 열왕기상 10:16-17, 역대기하 12:9-11
14:29	역대기상 27:24, 역대기하 12:15
14:30	열왕기상 15:6
14:31	열왕기상 11:43, 열왕기상 11:1, 역대기하 12:13, 역대기상 3:10, 마태복음 1:7
15:1	열왕기상 12:20, 역대기하 13:1-2
15:2	역대기하 11:20-22
15:4	사무엘하 7:8, 사무엘하 7:12, 시편 89:33-37, 이사야 37:35, 예레미야 33:20-21, 열왕기상 11:36, 역대기하 21:7, 시편 132:13, 시편 132:17
15:5	사무엘하 11:4, 사무엘하 11:15, 시편 51:0
15:6	열왕기상 14:30, 역대기하 12:15
15:7	역대기하 13:22, 역대기하 13:3
15:8	역대기상 3:10, 마태복음 1:7, 역대기하 14:1
15:10	역대기하 11:21-22
15:11	역대기하 14:2-5, 역대기하 14:11, 역대기하 15:17
15:12	신명기 23:17-18, 열왕기상 14:24, 열왕기상 22:45-46, 열왕기상 11:7, 열왕기상 14:22-23
15:13	역대기하 11:18, 역대기하 11:20, 신명기 7:5, 열왕기하 18:1, 열왕기하 18:4, 역대기하 34:1, 역대기하 34:4, 사무엘하 15:23, 역대기하 15:16-18, 요한복음 18:1
15:14	민수기 33:52, 신명기 12:2, 열왕기상 22:41, 열왕기상 22:43
15:15	역대기상 26:26-27
15:16	열왕기상 16:3, 열왕기상 16:12
15:17	여호수아 18:21, 여호수아 18:25, 역대기하 16:1-6
15:18	역대기하 16:7
15:20	열왕기하 15:29, 사사기 18:29, 열왕기상 12:28-29
15:21	열왕기상 14:17, 솔로몬의 노래 6:4
15:22	여호수아 21:8, 여호수아 21:17, 여호수아 18:21, 여호수아 18:26, 사사기 20:1, 사무엘상 7:5, 예레미야 40:6
15:23	역대기하 16:11-14
15:24	열왕기상 22:42, 역대기하 17:3-4, 역대기하 18:1, 역대기하 19:4, 마태복음 1:8
15:25	열왕기상 14:20
15:26	열왕기상 14:7, 열왕기상 14:9, 열왕기상 12:28-30, 열왕기상 13:33
15:27	여호수아 19:44, 여호수아 19:48, 여호수아 21:20, 여호수아 21:23, 열왕기상 16:15
15:29	열왕기상 14:9-10
15:32	역대기하 12:15
15:33	열왕기상 16:8
