1:1	창세기 4:25
17:17	마태복음 22:42, 사도행전 13:34, 요한 계시록 22:16
17:18	시편 139:1
17:19	사무엘하 7:21-24
17:20	출애굽기 15:11, 이사야 43:10
17:21	신명기 4:7, 시편 147:20, 출애굽기 19:5, 시편 77:15, 신명기 7:1, 여호수아 10:42, 여호수아 21:44, 신명기 4:34, 느헤미야 9:10, 이사야 63:12, 에스겔 20:9
17:22	사무엘상 12:22, 창세기 17:7, 신명기 7:6, 신명기 7:9
17:23	사무엘하 7:25-29
17:24	역대기하 6:33, 시편 72:19, 마태복음 6:9, 요한복음 12:28, 시편 89:35-36
18:1	사무엘상 5:8, 사무엘하 1:20, 사무엘하 8:1
18:2	민수기 24:17, 시편 60:8, 사무엘하 8:2, 열왕기하 3:4
18:3	사무엘상 14:47, 사무엘하 10:6, 시편 60:0, 열왕기상 11:23, 역대기하 8:3, 창세기 15:18, 출애굽기 23:31, 사무엘하 8:3-4
18:4	시편 20:7, 신명기 17:16, 시편 33:17
18:5	사무엘하 8:5-8
18:6	역대기상 17:8
18:8	열왕기상 7:23, 열왕기상 7:15, 열왕기상 7:45
18:9	사무엘하 8:3, 사무엘하 8:9-11
18:11	역대기상 20:1, 사무엘하 5:25, 사무엘상 27:8-9, 사무엘상 30:18, 사무엘상 30:20, 여호수아 6:19, 역대기하 5:1
18:12	역대기상 2:15-16, 사무엘상 26:6, 사무엘하 3:30, 사무엘하 10:10, 사무엘하 20:6, 사무엘하 21:17, 사무엘하 8:13-14
18:13	창세기 25:23, 창세기 27:40, 시편 18:48, 시편 144:10
18:14	열왕기상 2:11, 사무엘하 8:15-18, 사무엘하 23:3-4, 시편 78:70-72
18:15	역대기상 11:6, 열왕기상 4:3
18:17	사무엘상 30:14, 스바냐 2:5, 열왕기상 1:38
19:1	사무엘하 10:1-5
19:2	사무엘하 9:7, 창세기 19:36, 창세기 19:38
19:4	레위기 19:27
19:5	열왕기상 16:34
19:6	사무엘상 14:47, 사무엘하 8:3, 사무엘하 10:6
19:7	여호수아 13:8-9
19:8	사무엘하 8:16, 사무엘하 10:7-8, 사무엘하 23:8
19:10	사무엘하 10:9-12
19:11	역대기상 11:20-21
19:12	사무엘하 8:5
19:13	신명기 31:6, 여호수아 1:9
19:14	레위기 26:7-8, 신명기 28:7, 사무엘하 10:13-14
19:16	사무엘하 8:3, 사무엘하 10:15-16
19:17	사무엘하 10:17-19
19:19	시편 18:39, 역대기상 14:17, 시편 18:44
20:1	역대기상 11:6, 신명기 3:11, 사무엘하 11:1, 사무엘하 12:26
20:2	사무엘하 8:11-12, 사무엘하 12:30-31
20:3	열왕기상 9:20-21
20:4	사무엘하 21:18, 역대기상 11:26, 역대기상 11:29, 신명기 3:13
20:5	사무엘상 17:4, 사무엘상 17:7, 사무엘상 21:9, 사무엘하 21:19, 역대기상 11:23-24
20:6	여호수아 11:22, 사무엘상 7:14, 민수기 13:33, 신명기 2:10, 신명기 3:11, 사무엘하 21:16, 사무엘하 21:20-22
20:7	사무엘상 17:10, 열왕기하 19:22, 역대기상 2:13
20:8	사무엘상 17:4, 신명기 2:11
21:1	사무엘하 24:1-3
