1:1	출애굽기 40:34
18:20	출애굽기 20:14, 레위기 20:10, 신명기 22:22, 잠언 6:29, 마태복음 5:27-28, 고린도 전서 6:9-10, 히브리서 13:4
18:21	레위기 20:2, 신명기 18:10, 열왕기상 11:7, 열왕기하 23:10, 레위기 20:3
18:22	창세기 19:5, 레위기 20:13, 사사기 19:22, 로마서 1:26-27, 고린도 전서 6:9-10, 유다서 1:7
18:23	출애굽기 22:19, 레위기 20:15-16
18:24	레위기 20:23, 신명기 18:12
18:25	창세기 15:16
18:26	레위기 20:22, 신명기 4:1, 신명기 4:40, 출애굽기 12:49
18:27	신명기 20:17-18, 열왕기하 16:2-3, 열왕기하 21:1-2
18:30	레위기 18:3, 레위기 20:23, 신명기 18:9
19:2	레위기 11:44, 이사야 6:3, 베드로 전서 1:15-16, 요한 계시록 4:8
19:3	출애굽기 20:12, 에베소서 6:2, 히브리서 12:9, 출애굽기 20:8, 출애굽기 20:11, 출애굽기 31:13, 누가복음 6:5
19:4	레위기 26:1, 시편 96:5, 하박국 2:18, 고린도 전서 10:14, 출애굽기 20:4, 출애굽기 20:23, 신명기 27:15
19:5	레위기 3:1, 레위기 7:11-12
19:6	레위기 7:17-18
19:9	레위기 23:22, 신명기 24:19
19:10	신명기 15:7
19:11	출애굽기 20:15, 에베소서 4:28, 레위기 6:2, 잠언 12:22, 에베소서 4:25
19:12	출애굽기 20:7, 마태복음 5:33, 마태복음 5:37, 야고보서 5:12
19:13	잠언 22:16, 마가복음 10:19, 잠언 22:22, 신명기 24:15, 예레미야 22:13, 야고보서 5:4
19:14	신명기 27:18, 레위기 25:17, 느헤미야 5:15, 잠언 1:7, 잠언 8:13, 베드로 전서 2:17
19:15	출애굽기 23:3, 신명기 1:16-17, 신명기 16:19, 역대기하 19:6, 로마서 2:11, 야고보서 2:9
19:16	시편 15:1, 시편 15:3, 출애굽기 20:16, 열왕기상 21:13
19:17	잠언 10:18, 요한 1서 2:9, 요한 1서 3:15, 시편 141:5, 잠언 9:8, 마태복음 18:15
19:18	잠언 20:22, 로마서 12:19, 마태복음 5:43-44, 마태복음 22:39, 로마서 13:9, 갈라디아서 5:14, 야고보서 2:8
19:19	신명기 22:9, 신명기 22:11
19:21	레위기 6:6-7
19:24	신명기 26:1-2, 잠언 3:9
19:26	레위기 3:17, 레위기 17:13, 신명기 12:23, 사도행전 15:20, 사도행전 15:29, 출애굽기 8:7, 신명기 18:10-12, 갈라디아서 5:19-20, 요한 계시록 21:8
19:27	레위기 21:1, 레위기 21:5
19:28	신명기 14:1
19:29	신명기 23:17, 히브리서 13:4, 베드로 전서 4:3
19:30	출애굽기 20:10, 출애굽기 31:13
19:31	레위기 20:6, 신명기 18:10-12, 역대기상 10:13, 이사야 8:19, 레위기 20:27, 사도행전 16:16
19:32	잠언 16:31, 잠언 20:29, 욥기 32:6, 잠언 23:22, 디모데 전서 5:1, 욥기 28:28, 잠언 1:7, 잠언 8:13, 베드로 전서 2:17
19:33	출애굽기 23:9
19:34	출애굽기 12:49, 출애굽기 22:21
19:35	신명기 25:13, 신명기 25:15, 잠언 20:10
19:36	잠언 11:1
19:37	레위기 18:5, 신명기 4:6
20:2	레위기 18:21, 신명기 18:10
20:3	에스겔 5:11
20:4	신명기 13:6-9
20:5	출애굽기 20:5
20:6	레위기 19:31, 신명기 18:10-12, 갈라디아서 5:19-20, 요한 계시록 21:8, 레위기 20:27, 사도행전 16:16, 역대기상 10:13
20:7	레위기 11:44, 베드로 전서 1:15-16
20:8	레위기 18:4, 전도서 12:13, 출애굽기 31:13, 레위기 21:8, 데살로니가 전서 5:23, 데살로니가 후서 2:13
20:9	출애굽기 21:17, 신명기 27:16, 잠언 20:20, 마태복음 15:4
20:10	신명기 5:18, 신명기 22:22, 로마서 7:3, 고린도 전서 6:9-10
20:11	레위기 18:8, 신명기 27:20
20:12	레위기 18:15, 레위기 18:29
20:13	창세기 19:5, 레위기 18:22, 사사기 19:22, 로마서 1:26-27, 고린도 전서 6:9-10, 유다서 1:7
20:14	레위기 18:17, 신명기 27:23, 레위기 21:9
20:15	출애굽기 22:19, 신명기 27:21
20:16	레위기 18:23
20:17	레위기 18:9, 신명기 27:22
20:18	레위기 18:19
20:19	레위기 18:12-13
20:20	레위기 18:14
20:21	레위기 18:16, 신명기 25:5
20:22	출애굽기 21:1, 신명기 5:1, 전도서 12:13, 레위기 18:26, 레위기 18:28
20:23	레위기 18:3, 레위기 18:24, 신명기 12:30, 레위기 18:27, 신명기 9:5
20:24	출애굽기 3:17, 출애굽기 6:8, 신명기 8:7-9, 에스겔 20:6, 출애굽기 19:5, 출애굽기 33:16, 열왕기상 8:53, 베드로 전서 2:9
20:25	레위기 11:46-47, 신명기 14:4-20, 레위기 11:43
20:26	레위기 19:2, 시편 99:5, 베드로 전서 1:15-16, 요한 계시록 4:8, 신명기 7:6
20:27	출애굽기 22:18, 레위기 19:31, 레위기 20:6, 신명기 18:10-12, 요한 계시록 21:8
21:1	민수기 19:14
21:5	신명기 14:1, 레위기 19:27-28
21:6	출애굽기 29:44, 레위기 18:21, 레위기 19:12, 레위기 22:32, 이사야 52:11, 베드로 전서 1:15-16
21:7	레위기 19:29, 신명기 24:1, 에스겔 44:22
21:8	출애굽기 28:41, 출애굽기 28:36, 레위기 11:45, 레위기 20:7-8
21:9	레위기 20:14
21:10	레위기 8:12, 출애굽기 28:2, 출애굽기 29:29, 레위기 16:32, 창세기 37:34, 레위기 10:6
21:11	민수기 6:7, 민수기 19:11, 민수기 19:14
21:12	레위기 10:7, 레위기 8:12
21:13	에스겔 44:22
21:15	에스라 9:2
21:20	신명기 23:1
