1:1	창세기 46:8
20:5	출애굽기 23:24, 고린도 전서 10:20, 요한 1서 5:21, 출애굽기 34:14, 마태복음 4:10, 누가복음 10:27
20:6	전도서 12:13
20:7	레위기 19:12, 레위기 24:15-16, 신명기 5:11
20:8	출애굽기 16:23, 출애굽기 31:13-14, 신명기 5:12-14
20:9	출애굽기 23:12
20:10	출애굽기 16:29, 출애굽기 34:21
20:11	창세기 2:2
20:12	출애굽기 21:15, 레위기 19:3, 잠언 1:8, 신명기 5:16, 마태복음 15:4, 에베소서 6:2-3
20:13	창세기 9:6, 신명기 5:17, 야고보서 2:11, 요한 1서 3:15, 요한 계시록 21:8
20:14	창세기 39:7-9, 신명기 5:18, 잠언 6:32, 마태복음 5:27-28, 로마서 13:9, 고린도 전서 6:18, 히브리서 13:4
20:15	레위기 19:11, 신명기 5:19, 마가복음 10:19, 고린도 전서 6:9-10, 에베소서 4:28
20:16	레위기 19:16, 신명기 5:20, 신명기 19:16-19
20:17	신명기 5:21, 마태복음 5:28, 로마서 7:7
20:18	출애굽기 19:16, 히브리서 12:18-19
20:19	사도행전 7:38, 갈라디아서 3:19
20:20	신명기 8:2, 여호수아 24:14, 욥기 28:28, 잠언 1:7
20:21	신명기 5:5, 시편 97:2
20:22	신명기 4:36, 느헤미야 9:13
20:23	사도행전 17:29
20:24	신명기 12:5-6, 역대기하 6:6
20:25	신명기 27:5, 여호수아 8:30-31
21:1	출애굽기 24:3, 신명기 4:14
21:2	레위기 25:39-40, 신명기 15:12
21:4	신명기 15:12
21:5	신명기 15:16-17
21:10	고린도 전서 7:3
21:12	창세기 9:6, 민수기 35:30, 마태복음 5:21
21:13	민수기 35:11, 민수기 35:22-25, 신명기 4:42, 신명기 19:3-5, 여호수아 20:7-9
21:14	민수기 15:30, 신명기 19:11-12, 열왕기상 1:50, 열왕기상 2:29, 요한 1서 3:15
21:15	출애굽기 20:12
21:16	창세기 40:15, 창세기 37:28, 신명기 24:7
21:17	레위기 20:9, 잠언 20:20, 잠언 30:11, 잠언 30:17, 마태복음 15:4
21:20	창세기 9:5-6, 레위기 24:17
